DistrictType,DistrictTTL,SchoolTTL,HighestAchievement,YearAfterGrad,DemographicGrouping,DemographicValue,MedianEarnings,MedianHours,NumRecords
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,7,GPA,>=3.0,41200,1901.5,512
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,7,Race/Ethnicity,Asian,44600,1982,99
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,7,Race/Ethnicity,White,39900,1858,433
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,8,All Students,All,43500,1872,521
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,8,FRPL,FRPL,43500,2016,72
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,8,FRPL,Not FRPL,43500,1860,449
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,8,Gender,Female,43300,1830,266
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,8,Gender,Male,43800,1930,255
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,8,GPA,<3.0,36000,1912.5,84
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,8,GPA,>=3.0,44300,1869,437
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,8,Race/Ethnicity,Asian,46200,2021,95
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,8,Race/Ethnicity,White,43800,1841,361
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,9,All Students,All,43900,1905,509
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,9,FRPL,FRPL,41000,1873,74
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,9,FRPL,Not FRPL,44400,1911,435
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,9,Gender,Female,43800,1871,263
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,9,Gender,Male,44800,1946,246
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,9,GPA,<3.0,37700,1834,94
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,9,GPA,>=3.0,45900,1920,415
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,9,Race/Ethnicity,Asian,50900,2062,91
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,9,Race/Ethnicity,White,42300,1846,353
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,10,All Students,All,48000,1920,414
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,10,FRPL,FRPL,44500,2025,60
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,10,FRPL,Not FRPL,48100,1918,354
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,10,Gender,Female,45400,1889.5,214
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,10,Gender,Male,49900,1980.5,200
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,10,GPA,<3.0,44100,1943,79
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,10,GPA,>=3.0,48500,1920,335
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,10,Race/Ethnicity,Asian,52100,2054.5,78
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,10,Race/Ethnicity,White,46200,1900,285
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,11,All Students,All,51500,1920,300
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,11,FRPL,FRPL,43600,1817,47
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,11,FRPL,Not FRPL,52800,1920,253
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,11,Gender,Female,48100,1844,155
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,11,Gender,Male,56300,1984,145
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,11,GPA,<3.0,47300,1820,57
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,11,GPA,>=3.0,52100,1932,243
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,11,Race/Ethnicity,Asian,53200,1999.5,60
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,11,Race/Ethnicity,White,51300,1889,198
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,12,All Students,All,53900,1913,212
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,12,FRPL,FRPL,46400,1906.5,32
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,12,FRPL,Not FRPL,56600,1913,180
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,12,Gender,Female,53300,1824.5,94
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,12,Gender,Male,58700,1945.5,118
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,12,GPA,<3.0,54200,2035,39
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,12,GPA,>=3.0,53700,1825,173
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,12,Race/Ethnicity,Asian,54300,1872.5,42
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,12,Race/Ethnicity,White,55100,1872,141
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,13,All Students,All,59300,1907,115
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,13,Gender,Female,54400,1560,46
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,13,Gender,Male,60900,1985,69
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,13,Race/Ethnicity,Asian,60900,1984,31
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,13,Race/Ethnicity,White,59300,1882,65
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,All Students,All,29200,1648,610
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,Bilingual,Bilingual,29500,1706,54
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,Bilingual,Not Bilingual,29200,1645.5,556
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,FRPL,FRPL,27400,1520,194
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,FRPL,Not FRPL,30400,1695,416
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,Gender,Female,26600,1525,245
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,Gender,Male,31400,1735,365
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,GPA,<3.0,28800,1658,426
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,GPA,>=3.0,30800,1606.5,184
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,Race/Ethnicity,Asian,28900,1706,86
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,Race/Ethnicity,Black or African American,31100,1659,45
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,Race/Ethnicity,Spanish/Hispanic/Latino,28000,1611.5,94
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,Race/Ethnicity,White,30000,1686,367
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,Special Education,Not Special Education,31100,1702.5,534
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,7,Special Education,Special Education,21600,1426,76
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,All Students,All,32500,1710.5,526
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,Bilingual,Bilingual,32200,1621,50
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,Bilingual,Not Bilingual,32500,1716.5,476
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,FRPL,FRPL,31500,1621.5,166
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,FRPL,Not FRPL,33400,1732,360
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,Gender,Female,30100,1577,205
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,Gender,Male,34100,1777,321
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,GPA,<3.0,32500,1692,345
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,GPA,>=3.0,32400,1792,181
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,Race/Ethnicity,Asian,32200,1668,74
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,Race/Ethnicity,Black or African American,34300,1525,42
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,Race/Ethnicity,Spanish/Hispanic/Latino,32400,1797,89
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,Race/Ethnicity,White,33200,1726,307
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,Special Education,Not Special Education,34400,1736,462
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,8,Special Education,Special Education,23600,1461,64
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,All Students,All,34100,1739,508
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,Bilingual,Bilingual,34100,1754.5,48
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,Bilingual,Not Bilingual,34200,1739,460
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,FRPL,FRPL,32800,1653.5,158
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,FRPL,Not FRPL,35200,1768.5,350
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,Gender,Female,31100,1626,206
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,Gender,Male,36400,1803,302
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,GPA,<3.0,33700,1714,343
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,GPA,>=3.0,35300,1759,165
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,Race/Ethnicity,Asian,34600,1809,79
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,Race/Ethnicity,Black or African American,31300,1494,45
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,Race/Ethnicity,Spanish/Hispanic/Latino,37500,1771.5,80
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,Race/Ethnicity,White,34300,1748.5,292
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,Special Education,Not Special Education,35300,1755,457
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,9,Special Education,Special Education,23700,1572,51
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,All Students,All,34400,1742.5,402
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,Bilingual,Bilingual,34000,1796,40
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,Bilingual,Not Bilingual,34600,1740.5,362
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,FRPL,FRPL,36100,1829.5,122
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,FRPL,Not FRPL,34000,1726,280
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,Gender,Female,33700,1684,165
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,Gender,Male,36400,1810,237
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,GPA,<3.0,33700,1672,263
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,GPA,>=3.0,37600,1795,139
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,Race/Ethnicity,Asian,36200,1911.5,70
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,Race/Ethnicity,Spanish/Hispanic/Latino,39600,1851,60
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,Race/Ethnicity,White,33600,1721,233
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,Special Education,Not Special Education,37100,1765,368
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,10,Special Education,Special Education,21800,1252.5,34
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,11,All Students,All,36800,1746,291
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,11,Bilingual,Bilingual,34700,1694,32
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,11,Bilingual,Not Bilingual,36900,1762,259
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,11,FRPL,FRPL,35400,1680.5,88
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,11,FRPL,Not FRPL,37300,1770,203
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,11,Gender,Female,30300,1544.5,110
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,11,Gender,Male,38800,1846,181
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,11,GPA,<3.0,35000,1697,194
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,11,GPA,>=3.0,39500,1777,97
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,11,Race/Ethnicity,Asian,42000,1892,51
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,11,Race/Ethnicity,Spanish/Hispanic/Latino,34600,1716,39
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,11,Race/Ethnicity,White,36500,1673,169
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,12,All Students,All,36500,1655,183
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,12,FRPL,FRPL,33000,1468,59
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,12,FRPL,Not FRPL,38800,1709.5,124
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,12,Gender,Female,31300,1446,67
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,12,Gender,Male,39700,1874,116
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,12,GPA,<3.0,35800,1673,125
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,12,GPA,>=3.0,38100,1574.5,58
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,12,Race/Ethnicity,Asian,41700,1887,33
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,12,Race/Ethnicity,White,34600,1655,105
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,13,All Students,All,37600,1737.5,90
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,13,Gender,Female,32800,1532,36
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,13,Gender,Male,41800,1894,54
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,13,GPA,<3.0,37600,1719,49
School Dist,Seattle Public Schools,Ballard High School,HS Diploma,13,GPA,>=3.0,40900,1779,41
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,7,All Students,All,25800,1564,79
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,7,FRPL,FRPL,25800,1608,47
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,7,FRPL,Not FRPL,23900,1294,32
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,7,Gender,Female,23000,1533,41
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,7,Gender,Male,26800,1581,38
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,7,GPA,<3.0,26700,1608,43
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,7,GPA,>=3.0,23400,1548.5,36
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,8,All Students,All,33800,1795,62
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,9,All Students,All,32800,1799,103
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,9,FRPL,FRPL,33700,1863,63
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,9,FRPL,Not FRPL,28300,1545.5,40
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,9,Gender,Female,30700,1571,62
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,9,Gender,Male,35700,1901,41
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,9,GPA,<3.0,32900,1799,53
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,9,GPA,>=3.0,32300,1800,50
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,10,All Students,All,35900,1859,83
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,10,FRPL,FRPL,36000,1907.5,52
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,10,FRPL,Not FRPL,35900,1553,31
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,10,Gender,Female,35500,1808.5,50
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,10,Gender,Male,36800,1908,33
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,10,GPA,<3.0,36400,1783,41
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,10,GPA,>=3.0,35500,1872.5,42
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,11,All Students,All,36700,1899,65
School Dist,Seattle Public Schools,Chief Sealth High School,Associate/Certificate,12,All Students,All,37100,1879,35
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,7,All Students,All,42200,1930,157
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,7,FRPL,FRPL,41900,1919,83
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,7,FRPL,Not FRPL,43700,1965.5,74
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,7,Gender,Female,42200,1932,103
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,7,Gender,Male,40800,1906,54
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,7,Race/Ethnicity,Asian,42100,1937,50
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,7,Race/Ethnicity,Other (Redacted),38200,1847,49
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,7,Race/Ethnicity,White,43700,1984.5,58
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,8,All Students,All,45000,1953,137
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,8,FRPL,FRPL,44900,1948.5,76
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,8,FRPL,Not FRPL,45000,1961,61
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,8,Gender,Female,44100,1950,89
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,8,Gender,Male,46500,1971.5,48
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,8,Race/Ethnicity,Asian,44100,1961,47
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,8,Race/Ethnicity,Other (Redacted),47700,2044.5,38
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,8,Race/Ethnicity,White,43700,1922.5,52
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,9,All Students,All,46400,1986,135
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,9,FRPL,FRPL,47300,2012,65
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,9,FRPL,Not FRPL,45400,1922,70
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,9,Gender,Female,44500,1961,85
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,9,Gender,Male,52100,2012.5,50
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,9,Race/Ethnicity,Asian,52100,2076.5,42
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,9,Race/Ethnicity,Other (Redacted),40800,1874,36
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,9,Race/Ethnicity,White,47000,1923,57
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,10,All Students,All,45200,1967.5,132
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,10,FRPL,FRPL,47300,2064,63
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,10,FRPL,Not FRPL,43700,1812,69
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,10,Gender,Female,43000,1855,79
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,10,Gender,Male,54500,2069,53
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,10,Race/Ethnicity,Asian,53400,2080,40
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,10,Race/Ethnicity,Other (Redacted),41200,1942.5,38
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,10,Race/Ethnicity,White,44400,1797,54
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,11,All Students,All,50000,1955,96
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,11,FRPL,FRPL,49900,2007.5,50
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,11,FRPL,Not FRPL,50000,1906.5,46
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,11,Gender,Female,49500,1927.5,54
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,11,Gender,Male,51600,1967,42
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,11,Race/Ethnicity,Asian,54800,1976,36
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,11,Race/Ethnicity,White,50000,1931,36
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,12,All Students,All,51400,1630,65
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,13,All Students,All,46400,1591,31
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,All Students,All,28000,1666,375
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,Bilingual,Bilingual,29600,1777,44
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,Bilingual,Not Bilingual,27600,1651,331
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,FRPL,FRPL,28200,1696.5,226
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,FRPL,Not FRPL,27400,1617,149
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,Gender,Female,26500,1645,189
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,Gender,Male,30000,1776.5,186
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,GPA,<3.0,28500,1665,276
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,GPA,>=3.0,27600,1679,99
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,Race/Ethnicity,Asian,30000,1788,95
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,Race/Ethnicity,Black or African American,22700,1602,110
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,Race/Ethnicity,Spanish/Hispanic/Latino,31900,1741,68
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,Race/Ethnicity,White,31000,1696,89
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,Special Education,Not Special Education,29900,1729.5,318
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,7,Special Education,Special Education,18400,1330,57
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,All Students,All,30200,1780,321
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,Bilingual,Bilingual,29500,1817,38
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,Bilingual,Not Bilingual,30300,1780,283
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,FRPL,FRPL,29600,1721,184
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,FRPL,Not FRPL,31500,1794,137
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,Gender,Female,26600,1612,164
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,Gender,Male,33500,1947,157
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,GPA,<3.0,29800,1785.5,228
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,GPA,>=3.0,30400,1638,93
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,Race/Ethnicity,Asian,32400,1931,87
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,Race/Ethnicity,Black or African American,22500,1490,95
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,Race/Ethnicity,Spanish/Hispanic/Latino,34600,1955,50
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,Race/Ethnicity,White,33100,1822.5,80
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,Special Education,Not Special Education,32300,1807,273
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,8,Special Education,Special Education,21600,1449.5,48
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,All Students,All,31700,1678,313
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,Bilingual,Bilingual,29000,1677,35
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,Bilingual,Not Bilingual,32300,1678,278
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,FRPL,FRPL,29300,1631.5,170
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,FRPL,Not FRPL,33200,1798,143
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,Gender,Female,29400,1554.5,168
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,Gender,Male,33000,1810,145
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,GPA,<3.0,31000,1683,217
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,GPA,>=3.0,32900,1616.5,96
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,Race/Ethnicity,Asian,35400,1809,95
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,Race/Ethnicity,Black or African American,23800,1354,85
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,Race/Ethnicity,Spanish/Hispanic/Latino,34500,1810.5,48
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,Race/Ethnicity,White,33200,1828,79
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,Special Education,Not Special Education,33400,1692.5,270
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,9,Special Education,Special Education,20200,1347,43
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,10,All Students,All,31300,1641,243
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,10,FRPL,FRPL,31800,1670,127
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,10,FRPL,Not FRPL,31100,1574.5,116
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,10,Gender,Female,30200,1511,126
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,10,Gender,Male,33700,1752,117
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,10,GPA,<3.0,31000,1543,167
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,10,GPA,>=3.0,33000,1823,76
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,10,Race/Ethnicity,Asian,37200,1913,72
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,10,Race/Ethnicity,Black or African American,19600,1152,65
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,10,Race/Ethnicity,Spanish/Hispanic/Latino,31800,1706,37
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,10,Race/Ethnicity,White,33900,1857.5,66
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,10,Special Education,Not Special Education,33100,1706,211
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,10,Special Education,Special Education,18900,1198,32
School Dist,Seattle Public Schools,Chief Sealth High School,HS Diploma,11,All Students,All,32300,1667,183
